standard_name,fbref,fbduk,oddsportal
AFC Wimbledon,AFC Wimbledon,AFC Wimbledon,AFC Wimbledon
Acc'ton Stanley,Acc'ton Stanley,Accrington,Accrington
Alaves,Alavés,Alaves,Alaves
Albacete,Albacete,Albacete,Albacete
Aldershot Town,Aldershot Town,Aldershot,Aldershot
Almeria,Almería,Almeria,Almeria
Altrincham,Altrincham,Altrincham,Altrincham
Amiens,Amiens,Amiens,Amiens
Angers,Angers,Angers,Angers
Annecy,Annecy,Annecy,Annecy
Arsenal,Arsenal,Arsenal,Arsenal
Aston Villa,Aston Villa,Aston Villa,Aston Villa
Atalanta,Atalanta,Atalanta,Atalanta
Ath Bilbao,Athletic Club,Ath Bilbao,Ath Bilbao
Ath Madrid,Atlético Madrid,Ath Madrid,Atl. Madrid
Augsburg,Augsburg,Augsburg,Augsburg
Auxerre,Auxerre,Auxerre,Auxerre
Barcelona,Barcelona,Barcelona,Barcelona
Bari,Bari,Bari,Bari
Barnet,Barnet,Barnet,Barnet
Barnsley,Barnsley,Barnsley,Barnsley
Barrow,Barrow,Barrow,Barrow
Bastia,Bastia,Bastia,Bastia
Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich
Betis,Betis,Betis,Betis
Birmingham,Birmingham City,Birmingham,Birmingham
Blackburn,Blackburn,Blackburn,Blackburn
Blackpool,Blackpool,Blackpool,Blackpool
Bochum,Bochum,Bochum,Bochum
Bologna,Bologna,Bologna,Bologna
Bolton,Bolton,Bolton,Bolton
Boston Utd,Boston United,Boston Utd,Boston Utd
Bournemouth,Bournemouth,Bournemouth,Bournemouth
Bradford City,Bradford City,Bradford,Bradford City
Braintree Town,Braintree Town,Braintree Town,Braintree
Braunschweig,BTSV,Braunschweig,Braunschweig
Brentford,Brentford,Brentford,Brentford
Brescia,Brescia,Brescia,Brescia
Brest,Brest,Brest,Brest
Brighton,Brighton,Brighton,Brighton
Bristol City,Bristol City,Bristol City,Bristol City
Bristol Rovers,Bristol Rovers,Bristol Rvs,Bristol Rovers
Bromley,Bromley,Bromley,Bromley
Burgos,Burgos,Burgos,Burgos CF
Burnley,Burnley,Burnley,Burnley
Burton,Burton Albion,Burton,Burton
CD Mirandés,CD Mirandés,Mirandes,Mirandes
Cadiz,Cádiz,Cadiz,Cadiz CF
Caen,Caen,Caen,Caen
Cagliari,Cagliari,Cagliari,Cagliari
Cambridge Utd,Cambridge Utd,Cambridge,Cambridge Utd
Cardiff,Cardiff City,Cardiff,Cardiff
Carlisle,Carlisle United,Carlisle,Carlisle
Carrarese,Carrarese,Carrarese,Carrarese
Cartagena,Cartagena,Cartagena,FC Cartagena SAD
Castellon,Castellón,Castellon,Castellon
Catanzaro,Catanzaro,Catanzaro,Catanzaro
Celta Vigo,Celta Vigo,Celta,Celta Vigo
Cesena,Cesena,Cesena,Cesena
Charlton Ath,Charlton Ath,Charlton,Charlton
Chelsea,Chelsea,Chelsea,Chelsea
Cheltenham,Cheltenham,Cheltenham,Cheltenham
Chesterfield,Chesterfield,Chesterfield,Chesterfield
Cittadella,Cittadella,Cittadella,Cittadella
Clermont,Clermont Foot,Clermont,Clermont
Colchester,Colchester Utd,Colchester,Colchester
Como,Como,Como,Como
Cordoba,Córdoba,Cordoba,Cordoba
Cosenza,Cosenza,Cosenza,Cosenza
Coventry City,Coventry City,Coventry,Coventry
Crawley Town,Crawley Town,Crawley Town,Crawley
Cremonese,Cremonese,Cremonese,Cremonese
Crewe Alexandra,Crewe Alexandra,Crewe,Crewe
Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
Dag and Red,Dag & Red,Dag and Red,Dag & Red
Darmstadt,Darmstadt 98,Darmstadt,Darmstadt
Dep. La Coruna,La Coruña,La Coruna,Dep. La Coruna
Derby County,Derby County,Derby,Derby
Doncaster,Doncaster,Doncaster,Doncaster
Dortmund,Dortmund,Dortmund,Dortmund
Dunkerque,Dunkerque,Dunkerque,Dunkerque
Dusseldorf,Düsseldorf,Fortuna Dusseldorf,Dusseldorf
Eastleigh,Eastleigh,Eastleigh,Eastleigh
Ebbsfleet,Ebbsfleet Utd,Ebbsfleet,Ebbsfleet
Eibar,Eibar,Eibar,Eibar
Ein Frankfurt,Eint Frankfurt,Ein Frankfurt,Eintracht Frankfurt
Elche,Elche,Elche,Elche
Eldense,Eldense,Eldense,Eldense
Elversberg,Elversberg,Elversberg,Elversberg
Empoli,Empoli,Empoli,Empoli
Espanol,Espanyol,Espanol,Espanyol
Everton,Everton,Everton,Everton
Exeter City,Exeter City,Exeter,Exeter
FC Halifax,FC Halifax Town,Halifax,FC Halifax
FG Rovers,FG Rovers,Forest Green,Forest Green
Ferrol,Racing Ferrol,Ferrol,Racing Club Ferrol
Fiorentina,Fiorentina,Fiorentina,Fiorentina
Fleetwood,Fleetwood Town,Fleetwood Town,Fleetwood
Freiburg,Freiburg,Freiburg,Freiburg
Frosinone,Frosinone,Frosinone,Frosinone
Fulham,Fulham,Fulham,Fulham
Fylde,Fylde,Fylde,AFC Fylde
Gateshead,Gateshead,Gateshead,Gateshead
Genoa,Genoa,Genoa,Genoa
Getafe,Getafe,Getafe,Getafe
Gijon,Sporting Gijón,Sp Gijon,Gijon
Gillingham,Gillingham,Gillingham,Gillingham
Girona,Girona,Girona,Girona
Gladbach,Gladbach,M'gladbach,B. Monchengladbach
Granada,Granada,Granada,Granada CF
Grenoble,Grenoble,Grenoble,Grenoble
Greuther Fürth,Greuther Fürth,Greuther Furth,Greuther Furth
Grimsby,Grimsby Town,Grimsby,Grimsby
Guingamp,Guingamp,Guingamp,Guingamp
Hamburg,Hamburger SV,Hamburg,Hamburger SV
Hannover,Hannover 96,Hannover,Hannover
Harrogate,Harrogate,Harrogate,Harrogate
Hartlepool,Hartlepool Utd,Hartlepool,Hartlepool
Heidenheim,Heidenheim,Heidenheim,Heidenheim
Hertha,Hertha BSC,Hertha,Hertha Berlin
Hoffenheim,Hoffenheim,Hoffenheim,Hoffenheim
Holstein Kiel,Holstein Kiel,Holstein Kiel,Holstein Kiel
Huddersfield,Huddersfield,Huddersfield,Huddersfield
Huesca,Huesca,Huesca,Huesca
Hull,Hull City,Hull,Hull
Inter,Inter,Inter,Inter
Ipswich Town,Ipswich Town,Ipswich,Ipswich
Juve Stabia,Juve Stabia,Juve Stabia,Juve Stabia
Juventus,Juventus,Juventus,Juventus
Kaiserslautern,Kaiserslautern,Kaiserslautern,Kaiserslautern
Karlsruhe,Karlsruher,Karlsruhe,Karlsruher SC
Köln,Köln,FC Koln,FC Koln
Las Palmas,Las Palmas,Las Palmas,Las Palmas
Lazio,Lazio,Lazio,Lazio
Le Havre,Le Havre,Le Havre,Le Havre
Lecce,Lecce,Lecce,Lecce
Leeds,Leeds United,Leeds,Leeds
Leganes,Leganés,Leganes,Leganes
Leicester City,Leicester City,Leicester,Leicester
Lens,Lens,Lens,Lens
Levante,Levante,Levante,Levante
Leverkusen,Leverkusen,Leverkusen,Bayer Leverkusen
Leyton Orient,Leyton Orient,Leyton Orient,Leyton Orient
Lille,Lille,Lille,Lille
Lincoln City,Lincoln City,Lincoln,Lincoln
Liverpool,Liverpool,Liverpool,Liverpool
Lorient,Lorient,Lorient,Lorient
Luton,Luton Town,Luton,Luton
Lyon,Lyon,Lyon,Lyon
MK Dons,MK Dons,Milton Keynes Dons,MK Dons
Magdeburg,Magdeburg,Magdeburg,Magdeburg
Maidenhead,Maidenhead Utd,Maidenhead,Maidenhead
Mainz,Mainz 05,Mainz,Mainz
Malaga,Málaga,Malaga,Malaga
Mallorca,Mallorca,Mallorca,Mallorca
Manchester City,Manchester City,Man City,Manchester City
Manchester Utd,Manchester Utd,Man United,Manchester Utd
Mansfield Town,Mansfield Town,Mansfield,Mansfield
Mantova,Mantova,Mantova,Mantova
Marseille,Marseille,Marseille,Marseille
Martigues,Martigues,Martigues,Martigues
Metz,Metz,Metz,Metz
Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough
Milan,Milan,Milan,AC Milan
Millwall,Millwall,Millwall,Millwall
Modena,Modena,Modena,Modena
Monaco,Monaco,Monaco,Monaco
Montpellier,Montpellier,Montpellier,Montpellier
Monza,Monza,Monza,Monza
Morecambe,Morecambe,Morecambe,Morecambe
Nantes,Nantes,Nantes,Nantes
Napoli,Napoli,Napoli,Napoli
Newcastle Utd,Newcastle Utd,Newcastle,Newcastle
Newport County,Newport County,Newport County,Newport
Nice,Nice,Nice,Nice
Northampton,Northampton,Northampton,Northampton
Norwich,Norwich City,Norwich,Norwich
Nott'ham Forest,Nott'ham Forest,Nott'm Forest,Nottingham
Notts Co,Notts County,Notts County,Notts Co
Nurnberg,Nürnberg,Nurnberg,Nurnberg
Oldham,Oldham Athletic,Oldham,Oldham
Osasuna,Osasuna,Osasuna,Osasuna
Oviedo,Oviedo,Oviedo,R. Oviedo
Oxford,Oxford United,Oxford,Oxford Utd
P'borough Utd,P'borough Utd,Peterboro,Peterborough
Paderborn,Paderborn 07,Paderborn,Paderborn
Palermo,Palermo,Palermo,Palermo
Paris FC,Paris FC,Paris FC,Paris FC
Paris SG,Paris S-G,Paris SG,PSG
Parma,Parma,Parma,Parma
Pau FC,Pau FC,Pau FC,Pau FC
Pisa,Pisa,Pisa,Pisa
