fbref,fbduk
Arsenal,Arsenal
Liverpool,Liverpool
Southampton,Southampton
Chelsea,Chelsea
Ipswich Town,Ipswich
Wolves,Wolves
Manchester Utd,Man United
Aston Villa,Aston Villa
Tottenham,Tottenham
Bournemouth,Bournemouth
Newcastle Utd,Newcastle
Fulham,Fulham
Brentford,Brentford
Crystal Palace,Crystal Palace
West Ham,West Ham
Manchester City,Man City
Leicester City,Leicester
AFC Wimbledon,AFC Wimbledon
AVS Futebol,AVS
AZ Alkmaar,AZ Alkmaar
Acc'ton Stanley,Accrington
Ajaccio,Ajaccio
Ajax,Ajax
Alavés,Alaves
Albacete,Albacete
Aldershot Town,Aldershot
Almere City,Almere City
Almería,Almeria
Altrincham,Altrincham
Amiens,Amiens
Angers,Angers
Annecy,Annecy
Arouca,Arouca
Atalanta,Atalanta
Athletic Club,Ath Bilbao
Atlético Madrid,Ath Madrid
Augsburg,Augsburg
Auxerre,Auxerre
BTSV,Braunschweig
Barcelona,Barcelona
Bari,Bari
Barnet,Barnet
Barnsley,Barnsley
Barrow,Barrow
Bastia,Bastia
Bayern Munich,Bayern Munich
Benfica,Benfica
Betis,Betis
Birmingham City,Birmingham
Blackburn,Blackburn
Blackpool,Blackpool
Boavista,Boavista
Bochum,Bochum
Bologna,Bologna
Boston United,Boston Utd
Bradford City,Bradford
Braga,Sp Braga
Braintree Town,Braintree Town
Brescia,Brescia
Brest,Brest
Bristol City,Bristol City
Bristol Rovers,Bristol Rvs
Bromley,Bromley
Burgos,Burgos
Burnley,Burnley
Burton Albion,Burton
CD Mirandés,Mirandes
Caen,Caen
Cagliari,Cagliari
Cambridge Utd,Cambridge
Cardiff City,Cardiff
Carlisle United,Carlisle
Carrarese,Carrarese
Cartagena,Cartagena
Casa Pia,Casa Pia
Castellón,Castellon
Catanzaro,Catanzaro
Celta Vigo,Celta
Cesena,Cesena
Charlton Ath,Charlton
Cheltenham,Cheltenham
Chesterfield,Chesterfield
Cittadella,Cittadella
Clermont Foot,Clermont
Colchester Utd,Colchester
Como,Como
Cosenza,Cosenza
Coventry City,Coventry
Cracovia,Cracovia
Crawley Town,Crawley Town
Cremonese,Cremonese
Crewe Alexandra,Crewe
Cádiz,Cadiz
Córdoba,Cordoba
Dag & Red,Dag and Red
Darmstadt 98,Darmstadt
Derby County,Derby
Doncaster,Doncaster
Dortmund,Dortmund
Dunkerque,Dunkerque
Düsseldorf,Fortuna Dusseldorf
Eastleigh,Eastleigh
Ebbsfleet Utd,Ebbsfleet
Eibar,Eibar
Eint Frankfurt,Ein Frankfurt
Elche,Elche
Eldense,Eldense
Elversberg,Elversberg
Empoli,Empoli
Espanyol,Espanol
Estoril,Estoril
Estrela,Estrela
Exeter City,Exeter
FC Halifax Town,Halifax
FG Rovers,Forest Green
Famalicão,Famalicao
Farense,Farense
Feyenoord,Feyenoord
Fiorentina,Fiorentina
Fleetwood Town,Fleetwood Town
Freiburg,Freiburg
Frosinone,Frosinone
Fylde,Fylde
Gateshead,Gateshead
Genoa,Genoa
Getafe,Getafe
Gil Vicente FC,Gil Vicente
Gillingham,Gillingham
Girona,Girona
Gladbach,M'gladbach
Go Ahead Eag,Go Ahead Eagles
Granada,Granada
Grenoble,Grenoble
Greuther Fürth,Greuther Furth
Grimsby Town,Grimsby
Groningen,Groningen
Guingamp,Guingamp
Górnik Zabrze,Gornik Zabrze
Hamburger SV,Hamburg
Hannover 96,Hannover
Harrogate,Harrogate
Hartlepool Utd,Hartlepool
Heerenveen,Heerenveen
Heidenheim,Heidenheim
Hellas Verona,Verona
Heracles Almelo,Heracles
Hertha BSC,Hertha
Hoffenheim,Hoffenheim
Holstein Kiel,Holstein Kiel
Huddersfield,Huddersfield
Huesca,Huesca
Hull City,Hull
Inter,Inter
Jagiellonia,Jagiellonia
Jahn R'burg,Regensburg
Juve Stabia,Juve Stabia
Juventus,Juventus
Kaiserslautern,Kaiserslautern
Karlsruher,Karlsruhe
Katowice,GKS Katowice
Korona Kielce,Korona Kielce
Köln,FC Koln
La Coruña,La Coruna
Las Palmas,Las Palmas
Lazio,Lazio
Le Havre,Le Havre
Lecce,Lecce
Lech Poznań,Lech Poznan
Lechia Gdańsk,Lechia Gdansk
Leeds United,Leeds
Leganés,Leganes
Legia Warsaw,Legia
Lens,Lens
Levante,Levante
Leverkusen,Leverkusen
Leyton Orient,Leyton Orient
Lille,Lille
Lincoln City,Lincoln
Lorient,Lorient
Luton Town,Luton
Lyon,Lyon
MK Dons,Milton Keynes Dons
Magdeburg,Magdeburg
Maidenhead Utd,Maidenhead
Mainz 05,Mainz
Mallorca,Mallorca
Mansfield Town,Mansfield
Mantova,Mantova
Marseille,Marseille
Martigues,Martigues
Metz,Metz
Middlesbrough,Middlesbrough
Milan,Milan
Millwall,Millwall
Modena,Modena
Monaco,Monaco
Montpellier,Montpellier
Monza,Monza
Morecambe,Morecambe
Moreirense,Moreirense
Motor Lublin,Motor Lublin
Málaga,Malaga
NAC Breda,NAC Breda
NEC Nijmegen,Nijmegen
Nacional,Nacional
Nantes,Nantes
Napoli,Napoli
Newport County,Newport County
Nice,Nice
Northampton,Northampton
Norwich City,Norwich
Notts County,Notts County
Nürnberg,Nurnberg
Oldham Athletic,Oldham
Osasuna,Osasuna
Oviedo,Oviedo
Oxford United,Oxford
P'borough Utd,Peterboro
PSV Eindhoven,PSV Eindhoven
Paderborn 07,Paderborn
Palermo,Palermo
Paris FC,Paris FC
Paris S-G,Paris SG
Parma,Parma
Pau FC,Pau FC
Piast Gliwice,Piast Gliwice
Pisa,Pisa
Plymouth Argyle,Plymouth
Pogoń Szczecin,Pogon Szczecin
Port Vale,Port Vale
Porto,Porto
Portsmouth,Portsmouth
Preston,Preston
Preußen Münster,PreuÃen MÃ¼nster
Puszcza Niepołomice,Puszcza
QPR,QPR
RB Leipzig,RB Leipzig
RKC Waalwijk,Waalwijk
RKS Raków,Rakow
Racing Ferrol,Ferrol
Racing Sant,Santander
Radomiak Radom,Radomiak Radom
Rayo Vallecano,Vallecano
Reading,Reading
Real Madrid,Real Madrid
Real Sociedad,Sociedad
Red Star,Red Star
Reggiana,Reggiana
Reims,Reims
Rennes,Rennes
Rio Ave,Rio Ave
Rochdale,Rochdale
Rodez Aveyron,Rodez
Roma,Roma
Rotherham Utd,Rotherham
Saint-Étienne,St Etienne
Salernitana,Salernitana
Salford City,Salford
Sampdoria,Sampdoria
Santa Clara,Santa Clara
Sassuolo,Sassuolo
Schalke 04,Schalke 04
Sevilla,Sevilla
Sheffield Utd,Sheffield United
Sheffield Weds,Sheffield Weds
Shrewsbury,Shrewsbury
Solihull Moors,Solihull
Southend United,Southend
Sparta R'dam,Sparta Rotterdam
Spezia,Spezia
Sporting CP,Sp Lisbon
Sporting Gijón,Sp Gijon
St. Pauli,St Pauli
Stade Laval,Laval
Stal Mielec,Stal Mielec
Stevenage,Stevenage
Stockport,Stockport
Stoke City,Stoke
Strasbourg,Strasbourg
Stuttgart,Stuttgart
Sunderland,Sunderland
Sutton United,Sutton
Swansea City,Swansea
Swindon Town,Swindon
Südtirol,Sudtirol
Tamworth,Tamworth
Tenerife,Tenerife
Torino,Torino
Toulouse,Toulouse
Tranmere Rovers,Tranmere
Troyes,Troyes
Twente,Twente
Udinese,Udinese
Ulm,Ulm
Union Berlin,Union Berlin
Utrecht,Utrecht
Valencia,Valencia
Valladolid,Valladolid
Venezia,Venezia
Villarreal,Villarreal
Vitória,Guimaraes
Walsall,Walsall
Watford,Watford
Wealdstone,Wealdstone
Werder Bremen,Werder Bremen
West Brom,West Brom
Widzew Łódź,Widzew Lodz
Wigan Athletic,Wigan
Willem II,Willem II
Woking,Woking
Wolfsburg,Wolfsburg
Wrexham,Wrexham
Wycombe,Wycombe
Yeovil Town,Yeovil
York City,York
Zagłębie Lubin,Zaglebie
Zaragoza,Zaragoza
Zwolle,Zwolle
Śląsk Wrocław,Slask Wroclaw
Brighton,Brighton
Everton,Everton
Nott'ham Forest,Nott'm Forest
Bolton,Bolton
Fortuna Sittard,For Sittard
Alcorcón,Alcorcon
Bordeaux,Bordeaux
Boreham Wood,Boreham Wood
Calcio Lecco 1912,Lecco
Dorking Wand.,Dorking
Excelsior,Excelsior
FC Andorra,Andorra
FeralpiSalò,FeralpiSalo
Hansa Rostock,Hansa Rostock
Kidderminster,Kidderminster
Osnabrück,Osnabruck
Quevilly-Rouen,Quevilly Rouen
Ruch Chorzów,Ruch Chorzow
US Concarneau,Concarneau
Vitesse,Vitesse
Łódzki KS,LKS Lodz
Amorebieta,Amorebieta
Ascoli,Ascoli
Chaves,Chaves
Portimonense,Portimonense
Ternana,Ternana
Vizela,Vizela
Wehen,Wehen
Alcorcón,Alcorcon
Oxford City,Oxford City
Valenciennes,Valenciennes
Villarreal B,Villarreal B
Volendam,Volendam
Warta Poznań,Warta Poznan
